"Azure Well-Architected Review - Jan 12, 2023 - 9:35:51 AM",,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Critical,'6/100',,,
Cost Optimization,Critical,'7/100',,,
Performance Efficiency,Critical,'4/100',,,
,,,,,
Next Steps,,,,,
"Review, identify, and classify business critical applications",https://learn.microsoft.com/azure/architecture/framework/security/design-apps-services,,,,
Define RPO and RTO for your workload,https://learn.microsoft.com/azure/architecture/framework/Resiliency/business-metrics#recovery-metrics,,,,
Review limits,https://learn.microsoft.com/azure/architecture/framework/devops/release-engineering-app-dev?branch=main,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Cost Optimization,Configure auto-scale policies for your workload (both in and out),https://learn.microsoft.com/azure/architecture/framework/cost/optimize-autoscale,High,Application Design,Application Composition,90,Deliberate selection of resources and sizing is important to maintain efficiency and optimal cost.,N,
Cost Optimization,Shut down VM instances not in use,https://learn.microsoft.com/azure/architecture/framework/cost/optimize-vm#shut-down-the-under-utilized-instances,High,Capacity & Service Availability Planning,Efficiency,90,Use the Start/stop VMs during off-hours a feature of virtual machines to minimize waste.,N,
Cost Optimization,Look for Public IPs and orphaned NICs,https://learn.microsoft.com/azure/virtual-machines/linux/find-unattached-nics,High,Health Modeling & Monitoring,Resource and Infrastructure Level Monitoring,90,"When you delete a VM, some of the resources such as NICs or Managed Disks are not deleted by default. It is recommended to delete those resources if they are no longer needed.",N,
Cost Optimization,Separate data and log disks,https://learn.microsoft.com/sql/relational-databases/policy-based-management/place-data-and-log-files-on-separate-drives?view=sql-server-ver15,High,Application Design,Design,90,"Placing both data and log files on the same device can cause contention for that device, resulting in poor performance. Placing the files on separate drives allows the I/O activity to occur at the same time for both the data and log files.",N,
Cost Optimization,Consider utilizing disk bursting,https://learn.microsoft.com/azure/virtual-machines/disk-bursting,High,Capacity & Service Availability Planning,Efficiency,90,"Azure offers the ability to boost disk storage IOPS and MB/s performance. Consider using disk bursting for some scenarios such as improve startup times, handle back jobs, traffic spikes.",N,
Cost Optimization,Use Azure Advisor,https://learn.microsoft.com/azure/advisor/advisor-cost-recommendations,High,Capacity & Service Availability Planning,Service SKU,90,"Azure Advisor helps to optimize and improve efficiency of the workload by identifying idle and under-utilized resources. It analyzes your configurations and usage telemetry and consolidates it into personalized, actionable recommendations to help you optimize your resources.",N,
Cost Optimization,Understand the Azure services used and cost implications,https://learn.microsoft.com/azure/architecture/framework/cost/design-initial-estimate,High,Application Design,Application Composition,90,"It is important to understand what Azure services, such as App Services and Event Hubs, are used by the application platform to host both application code and data. In a discussion around cost, this can drive decisions towards the right replacements (e.g. moving from Virtual Machines to containers to increase efficiency, or migrating to .NET Core to use cheaper SKUs etc.).",N,
Cost Optimization,Delete or deallocate unused resources in test environments,https://azure.microsoft.com/en-us/solutions/dev-test/#overview,High,Deployment & Testing,Testing & Validation,90,Review you pre-production environment periodically and shutdown or remove unused resources.,N,
Cost Optimization,Learn if there are any discounts available for the services already in use,https://azure.microsoft.com/en-us/pricing/,High,Governance,Licensing,90,When alternative cost options are considered it should be understood first if any special offers or deals are given for the existing SKUs to verify that the correct prices are being used to build a business case.,N,
Cost Optimization,Cleanup Storage regularly,https://learn.microsoft.com/azure/architecture/framework/cost/optimize-checklist,High,Governance,Financial Management & Cost Models,90,Review your storage account to understand if there is any piece of data that can be deleted or moved to a different tier.,N,
Cost Optimization,Organize data into access tiers,https://learn.microsoft.com/azure/cloud-adoption-framework/ready/considerations/storage-options,High,Application Design,Application Composition,90,"Azure offers multiple products and services for different storage capabilities.  Review the different options available and decide which one is better for your workload.  After you identify the Storage resources that best match your requirements, use the detailed documentation available to familiarize yourself with these services.",N,
Cost Optimization,Consider reserved capacity for Storage,https://learn.microsoft.com/azure/storage/blobs/storage-blob-reserved-capacity,High,Capacity & Service Availability Planning,Efficiency,90,Azure Storage reserved capacity can significantly reduce your capacity costs for block blobs and Azure Data Lake Storage Gen2 data.  You can purchase Azure Storage reserved capacity in units of 100 TiB and 1 PiB per month for a one-year or three-year term,N,
Cost Optimization,Define a capacity model,https://learn.microsoft.com/azure/architecture/framework/scalability/capacity,High,Application Design,Scalability & Capacity Model,90,Right sizing your infrastructure to meet the needs of your applications can save you considerably as opposed to a 'one size fits all' solution often employed with on-premises hardware. Identify the needs of your application and choose the resources that best fit those needs.,N,
Cost Optimization,Use ACM or other cost management tools,https://learn.microsoft.com/azure/architecture/framework/cost/monitor-reports,High,Health Modeling & Monitoring,Dashboarding,90,"In order to track spending an ACM tool can help with understanding how much is spent, where and when. This helps to make better decisions about how and if cost can be reduced.",N,
Cost Optimization,Revisit new Azure services,https://azure.microsoft.com/en-us/updates/,High,Governance,Financial Management & Cost Models,90,"Consider revisiting new Azure Services in a regular basis, as it can help you understanding if there is a newer SKU for a particular service that could be a better fit for this application. ",N,
Cost Optimization,Collect logs and metrics from Azure resources,https://learn.microsoft.com/azure/azure-monitor/platform/data-platform-logs,High,Health Modeling & Monitoring,Resource and Infrastructure Level Monitoring,90,In order to successfully maintain the application it's important to 'turn the lights on' and have clear visibility of important metrics both in real-time and historically.,N,
Cost Optimization,Consider the cost of data transfers and make sure cross-region peering is used efficiently,https://azure.microsoft.com/en-us/pricing/details/bandwidth/,High,Networking & Connectivity,Data flow,90,Moving data between regions can add additional cost - both on the storage layer or networking layer. It's worth reviewing if this cost is can be replaced via re-architecture or justified due to e.g. disaster recovery (DR).,N,
Cost Optimization,Enforce naming conventions and resource tagging for all Azure resources,https://learn.microsoft.com/azure/architecture/framework/cost/design-governance#enforce-resource-tagging,High,Governance,Standards,90,Use tags on resources and resource groups to track the incurred costs. Identify the service meters that can't be tagged or viewed in the cost analysis tool in Azure portal.,N,
Cost Optimization,Differentiate between production and non-production configuration,https://learn.microsoft.com/azure/architecture/framework/cost/design-resources#subscription-and-offer-type,High,Application Design,Design,90,Azure usage rates and billing periods can vary depending on the subscription and offer type. Some subscription types also include usage allowances or lower prices.,N,
Cost Optimization,Use RBAC to contol access to dashboards and data,https://learn.microsoft.com/azure/cloud-adoption-framework/ready/azure-best-practices/track-costs#provide-the-right-level-of-cost-access,High,Health Modeling & Monitoring,Dashboarding,90,"Are the dashboards openly available in your organization or do you limit access based on roles etc.? For example: developers usually don't need to know the overall cost of Azure for the company, but it might be good for them to be able to watch a particular workload.",N,
Cost Optimization,Consider reserved instances,https://learn.microsoft.com/azure/architecture/framework/cost/optimize-vm#reserved-vms,High,Application Design,Design,90,"Azure Reservations help you save money by committing to one-year or three-year plans for multiple products. Committing allows you to get a discount on the resources you use. Reservations can significantly reduce your resource costs by up to 72% from pay-as-you-go prices. ",N,
Cost Optimization,Define performance requirements,https://learn.microsoft.com/azure/architecture/framework/cost/tradeoffs#cost-versus-performance-efficiency,High,Capacity & Service Availability Planning,Efficiency,90,"As you design the workload, identify the ideal ratio between cost and performance. Analyze and compare factors such as fixed or consumption-based resources, compare prices between different regions and understand if the performance of the application will be degraded if the resource is deployed in a regions that is cheaper.",N,
Cost Optimization,Define and monitor targets for scale operations,https://learn.microsoft.com/azure/azure-monitor/vm/vminsights-performance,High,Capacity & Service Availability Planning,Efficiency,90,Use Azure monitor to analyze the usage of the resources.,N,
Cost Optimization,Design the workload to scale independently,https://learn.microsoft.com/azure/architecture/framework/cost/optimize-autoscale,High,Capacity & Service Availability Planning,Efficiency,90,"For certain application, capacity requirements may swing over time. Autoscaling policies allow for less error-prone operations and cost savings through robust automation. Choose smaller instances where workload is highly variable and scale out to get the desired level of performance, rather than up.",N,
Cost Optimization,Understand the cost implications of multi-region deployment,https://learn.microsoft.com/azure/architecture/framework/cost/design-regions#traffic-across-billing-zones-and-regions,High,Application Design,Design,90,"Consider how important is the application to justify the cost of having resources cross zones and/or cross regions. For non-mission critical applications such as, developer or test, consider keeping the solution and its dependencies in a single region or single zone to leverage the advantages of choosing the lower-cost region.",N,
Cost Optimization,Assign a budget and spend limit to the workload,https://learn.microsoft.com/azure/architecture/framework/cost/monitor-alert,Medium,Governance,Financial Management & Cost Models,50,For cost management it is recommended to have a budget even for the smallest services operated as that allows to track and understand the flow of the spend and also understand the impact of a smaller service in a bigger picture.,N,
Cost Optimization,Associate cost to the criticality of the business,https://learn.microsoft.com/azure/architecture/framework/cost/design-governance#enforce-resource-tagging,Medium,Governance,Culture & Dynamics,50,Applications that are less critical to the business could use a smaller budget.,N,
Cost Optimization,Establish a cost owner for each service used by the workload,https://azure.microsoft.com/en-us/blog/how-to-optimize-your-azure-workload-costs-2/,Medium,Governance,Financial Management & Cost Models,50,Every service should have a cost owner that is tracking and is responsible for cost. This drives responsibility and awareness on who owns the cost tracking.,N,
Cost Optimization,Use cost forecasting for budget alignment,https://learn.microsoft.com/azure/cost-management-billing/costs/quick-acm-cost-analysis?tabs=azure-portal,Medium,Governance,Financial Management & Cost Models,50,In order to predict costs and trends it's recommended to use forecasting to be proactive for any spending that might be going up due to higher demand than anticipated.,N,
Cost Optimization,Define end-date for each environment,https://azure.microsoft.com/en-us/services/cost-management/,Medium,Operational Procedures,Operational Lifecycles,50,If your workload or environment isn't needed then you should be able to decommission it. The same should occur if you are introducing a new service or new feature.,N,
Cost Optimization,Utilize the PaaS pay-as-you-go consumption model where relevant,https://learn.microsoft.com/azure/architecture/framework/cost/design-price,Medium,Operational Procedures,Operational Lifecycles,50,"To bring down cost the goal should be to get as many applications to only consume resources when they are used, this goes as an evolution from IaaS to PaaS to serverless where you only pay when a service I triggered. The PaaS and serverless might appear more expensive, but risk and other operational work is transferred to the cloud provider which should also be factored in as part of the cost (e.g. patching, monitoring, licenses).",N,
Cost Optimization,Consider selective backups for VMs,https://learn.microsoft.com/azure/backup/selective-disk-backup-restore,Medium,Application Design,Design,50,"Azure Backup supports the use of the Selective Disks backup and restore functionally which allows you to back up a subset of data disks in a VM, which is an efficient  and cost-effective way to backup your application.",N,
Cost Optimization,Review Azure Advisor recommendations periodically,https://learn.microsoft.com/azure/architecture/framework/cost/monitor-reports#advisor-recommendations,Medium,Capacity & Service Availability Planning,Service SKU,50,"Your underutilized resources need to be reviewed often in order to be identified and dealt with accordingly, in addition to ensuring that your actionable recommendations are up-to-date and fully optimized. For example, Azure Advisor monitors your virtual machine (VM) usage for 7 days and then identifies low-utilization VMs.",N,
Cost Optimization,Define clear responsibilities for alerts,https://learn.microsoft.com/azure/architecture/framework/cost/design-model#organization-structure,Medium,Health Modeling & Monitoring,Alerting,50,Ensure the correct people responsible for the application is  alerted when there is any problem with the resource.,N,
Cost Optimization,Understand cost implications of availability strategy,https://learn.microsoft.com/azure/architecture/framework/cost/tradeoffs,Medium,Application Design,Design,50,"As you design the workload, consider tradeoffs between cost optimization and other aspects of the design, such as security, scalability, resilience, and operability. Ask questions such as if the cost of high availability components exceeds the cost of the application downtime to the business and design your application accordingly.",N,
