"MeterId";"MeterRates";"MeterCategory";"Unit";"MeterName";"MeterSubCategory";"MeterRegion"
"76b845d8-2f70-5c7b-bcab-530f66fa7764";"0.50598";"Storage";"1/Month";"E2 Disks";"Standard SSD Managed Disks";"DE West Central"
"c6cf8ec0-5b89-475c-8080-b34df897c0b5";"0.004385";"Storage";"10K";"Archive Other Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE North"
"d777d28c-8d51-49cd-b2ce-1fba5a7ec11d";"4.094221";"Virtual Machines";"1 Hour";"M128s Low Priority";"MS Series";"DE North"
"e3d4d81e-6559-586f-ab28-e2104dbf8b12";"0.233594";"Virtual Machines";"1 Hour";"E16-4ds v4 Low Priority";"Edsv4 Series Windows";"DE West Central"
"1b795210-2517-4b4f-92fc-117549567336";"0.001973";"Storage";"1 GB";"Archive LRS Early Delete";"Tiered Block Blob";"DE North"
"0ba3ccee-33bf-417f-90f8-804c51ee4d0e";"9.467729";"Storage";"1/Month";"P6 Disks";"Premium SSD Managed Disks";"DE West Central"
"ef5849e7-0fd5-4117-867e-8a1ec1cb6ca2";"0.027407";"Storage";"1 GB/Month";"Cool RA-GRS Data Stored";"Tiered Block Blob";"DE North"
"268c9cdf-ef81-464b-8448-66ca03419331";"0.050007";"Virtual Machines";"1 Hour";"F4/F4s Low Priority";"F/FS Series Windows";"DE North"
"8357cd88-7e55-4b4e-93fd-281bef918304";"1.551672";"Cloud Services";"1 Hour";"D32 v3";"Dv3 Series";"DE West Central"
"357babb8-5c4e-43d2-93b4-4c3e44c81438";"0.016866";"Storage";"1 GB";"Geo-Replication v2 Data transfer";"Bandwidth";"DE West Central"
"c66e41ae-1204-4c84-b500-de1ef38cc2e3";"0.04402";"HDInsight";"1 Hour";"A1 v2";"Av2 Series";"DE West Central"
"22b31873-8348-4f75-a172-9ca37a420c15";"0.364305";"Virtual Machines";"1 Hour";"D12 v2/DS12 v2";"Dv2/DSv2 Series";"DE North"
"6c1bd783-918e-478a-a965-b36a8156bc99";"0.033732";"Virtual Machines";"1 Hour";"D11 v2/DS11 v2 Low Priority";"Dv2/DSv2 Series Windows";"DE West Central"
"5bbbbbe6-e0ee-4e88-9603-ab559a8cbe81";"0.06662";"Virtual Machines";"1 Hour";"E4 v3/E4s v3 Low Priority";"Ev3/ESv3 Series Windows";"DE North"
"b48adc40-2442-4f3f-8021-f43840bb8445";"1.000153";"Virtual Machines";"1 Hour";"F16/F16s";"F/FS Series";"DE North"
"471b1ca7-dee2-4881-b121-e34d9293f541";"3.77967";"Virtual Machines";"1 Hour";"M32ls";"MS Series";"DE North"
"25edf61c-f9eb-48da-85d4-4bdc83c3c384";"0.3272";"Virtual Machines";"1 Hour";"F8s v2";"FSv2 Series Windows";"DE West Central"
"e1796540-5304-558a-a2d1-406035590e46";"0.091919";"Virtual Machines";"1 Hour";"D8d v4 Low Priority";"Ddv4 Series Windows";"DE West Central"
"a76bc5f4-bdc7-41d4-9d2c-842c8b2ce10f";"0.0";"Storage";"1 GB";"Geo-Replication Data transfer";"Bandwidth";"DE North"
"e29c5d51-da62-4967-9fa2-8d6b3b79f409";"285.0354";"Sentinel";"1/Day";"300 GB Capacity Reservation";"";"DE West Central"
"17e26d26-5af8-4039-ad09-f6e27820b646";"0.438516";"Virtual Machines";"1 Hour";"D15 v2/DS15 v2 Low Priority";"Dv2/DSv2 Series Windows";"DE North"
"859836c8-2e15-457a-9267-4e8566013982";"0.043851";"Media Services";"1";"Audio Analysis Input Content Minutes";"Media Analytics";"DE West Central"
"532bf1bf-735d-4f75-9d59-717928701412";"0.118062";"Storage";"10K";"Cool GRS Iterative Read Operations";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
"84ad9738-60ac-5d6a-9fb5-04ba6e4589b5";"0.933533";"Virtual Machines";"1 Hour";"E64-16ds v4 Low Priority";"Edsv4 Series";"DE West Central"
"45010ac5-fb72-4362-93bc-bdb2990ec27b";"0.120507";"Azure Database for MariaDB";"1 Hour";"vCore";"Memory Optimized - Compute Gen5";"DE West Central"
"613982db-7e7d-4436-9797-d390e0b30ace";"0.089389";"Azure App Service";"1 Hour";"B2";"Basic Plan - Linux";"DE West Central"
"391f8cee-a684-4c81-bd09-6c5d2366854d";"0.154323";"Virtual Machines";"1 Hour";"A4 v2";"Av2 Series";"DE West Central"
"1fc198e7-c037-4bc0-aefc-c07c3875c4b7";"0.01248";"Virtual Machines";"1 Hour";"F1/F1s Low Priority";"F/FS Series";"DE North"
"ef65c926-7c08-4f32-a2b7-4b40fcb9867a";"0.224317";"Cloud Services";"1 Hour";"D3 v2";"Dv2 Series";"DE West Central"
"e2e1f358-ef99-44a9-ae63-b9737360852a";"0.029515";"Storage";"1 GB/Month";"Hot ZRS Index";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
"8ff00fe7-71a2-57d3-a5df-7b49615ddba1";"0.029178";"Virtual Machines";"1 Hour";"E2ds v4 Low Priority";"Edsv4 Series";"DE West Central"
"cb62202f-7cdf-4900-9252-1058d0d3da54";"0.098666";"Redis Cache";"1 Hour";"C2 Cache";"Basic";"DE North"
"7cc34329-2716-4b2c-9637-3647df18f2fb";"0.03837";"Storage";"1 GB/Month";"Hot ZRS Index";"General Block Blob v2 Hierarchical Namespace";"DE North"
"106b9f03-87af-404b-8c27-ad0762a81ce9";"0.051272";"Virtual Machines";"1 Hour";"E4 v3/E4s v3 Low Priority";"Ev3/ESv3 Series";"DE West Central"
"cac87a8c-d55f-4b04-8d65-09ebfca0a6c9";"0.647654";"Virtual Machines";"1 Hour";"B16ms";"BS Series";"DE West Central"
"6a3c2eba-bb44-4095-8a33-49de5a68b093";"0.045538";"Storage";"100";"Hot Iterative Write Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE West Central"
"3f227c89-9714-4f02-8edc-093e69c419cf";"3.691967";"Virtual Machines";"1 Hour";"E64i v3/E64is v3";"Ev3/ESv3 Series";"DE West Central"
"1e2b2675-d10c-473f-92fa-75d99e5e2b2c";"1.025452";"Cloud Services";"1 Hour";"E16 v3";"Ev3 Series";"DE West Central"
"51e53589-b48a-4e35-a20b-fe047d1c552c";"0.182152";"HDInsight";"1 Hour";"A2 v2";"ID Broker";"DE North"
"31e3fc32-140d-46d0-be8b-f302b5fd349f";"0.130711";"SQL Managed Instance";"1 GB/Month";"LRS Data Stored";"Managed Instance PITR Backup Storage";"DE North"
"849609f8-a327-5437-9426-500fa5477509";"0.096979";"Virtual Machines";"1 Hour";"D2 v4";"Dv4 Series Windows";"DE West Central"
"ef98be38-086b-4e61-8cff-8e7089eba194";"0.998467";"Virtual Machines";"1 Hour";"F64s v2 Low Priority";"FSv2 Series";"DE West Central"
"6487779f-0fab-4330-9974-1856924eafca";"0.175406";"Virtual Machines";"1 Hour";"D13 v2/DS13 v2 Low Priority";"Dv2/DSv2 Series";"DE North"
"ad297005-10c1-4d60-97c3-68a956bf577d";"0.83318";"HDInsight";"1 Hour";"E8 v3/E8s v3";"Ev3/ESv3 Series";"DE North"
"f8b7b5a5-8d70-5257-b821-bbbf3569b1b9";"0.038791";"Virtual Machines";"1 Hour";"D4s v4 Low Priority";"Dsv4 Series";"DE West Central"
"74d72946-bb3e-48e6-aa6b-ebeb6c206aba";"0.033057";"Storage";"1 GB/Month";"Hot GRS Data Stored";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE West Central"
"ddcb4a35-3a96-41d2-815c-4ec426e3e6c8";"0.510196";"SQL Database";"1/Day";"S0 DTUs";"Single Standard";"DE West Central"
"bee3cdf9-f8d8-4b6a-9a6d-b54c626a9d97";"1.819841";"Virtual Machines";"1 Hour";"D15i v2/DS15i v2";"Dv2/DSv2 Series Windows";"DE North"
"fafcbfc8-45e6-4db4-8576-0f71e5859489";"0.008433";"Storage";"10K";"Cool Read Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE West Central"
"df3e17d9-c43f-4008-a918-7c44c784dd33";"0.106255";"Virtual Machines";"1 Hour";"F2s v2";"FSv2 Series";"DE North"
"a9133a3f-e3c5-486d-8b91-53593468a958";"0.065271";"SQL Database";"1 GB/Month";"RA-GRS Data Stored";"LTR Backup Storage";"DE North"
"aab0a329-1e8d-4133-8ade-85bc3b197f47";"0.333103";"Virtual Machines";"1 Hour";"E4 v3/E4s v3";"Ev3/ESv3 Series";"DE North"
"50ea6cc1-498f-481f-9f04-ca451110c3e5";"2.666514";"Virtual Machines";"1 Hour";"E32 v3/E32s v3";"Ev3/ESv3 Series";"DE North"
"7568718e-60f0-5089-a9b7-5c75f02d2cbc";"0.067126";"Azure Database for MySQL";"1 Hour";"B2S";"Flexible Server?Burstable BS Series?Compute";"DE West Central"
"e237e7bc-e6d6-52b2-8b16-f0bcc5f8d6f3";"398.012301";"Specialized Compute";"1 Hour";"S896om Instance";"SAP HANA on Azure Large Instances";"DE West Central"
"337f0c69-f450-49f3-b6f9-00939f86f614";"0.183561";"SQL Managed Instance";"1 Hour";"vCore";"Managed Instance General Purpose - Compute Gen5";"DE North"
"634b4004-3a45-41e9-8da8-b474f0d2c277";"0.091076";"Storage";"10K";"Hot GRS Iterative Read Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE West Central"
"3dcb4839-8e9d-4d20-8ebc-035b1a0ddbea";"0.67464";"Azure App Service";"1 Hour";"P3 v2";"Premium v2 Plan";"DE West Central"
"269a1988-d127-4a9a-a8e1-3e0757d2b721";"0.142517";"Storage";"10K";"Cool ZRS Write Operations";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE North"
"efc0601a-b0f7-4050-a666-6b10e8ea3e8e";"336.780288";"Storage";"1/Month";"E50 Disks";"Standard SSD Managed Disks";"DE North"
"b779c23c-0cb8-4a13-a0ce-b0d55ad0cd7d";"0.042502";"Virtual Machines";"1 Hour";"F4s v2 Low Priority";"FSv2 Series Windows";"DE North"
